timestamp,steering_angle
1763338374.4741106,-0.018181800842285156
1763338374.4847193,-0.018181800842285156
1763338374.494107,-0.018181800842285156
1763338374.5041907,-0.018181800842285156
1763338374.5140991,-0.018181800842285156
1763338374.5241296,-0.018181800842285156
1763338374.5340955,-0.018181800842285156
1763338374.5440867,-0.018181800842285156
1763338374.554173,-0.018181800842285156
1763338374.5641785,-0.018181800842285156
1763338374.5740957,-0.018181800842285156
1763338374.584104,-0.018181800842285156
1763338374.5941508,-0.018181800842285156
1763338374.6040723,-0.018181800842285156
1763338374.6140773,-0.019999980926513672
1763338374.6241379,-0.019999980926513672
1763338374.6340985,-0.018181800842285156
1763338374.6440797,-0.018181800842285156
1763338374.6542366,-0.018181800842285156
1763338374.6641204,-0.018181800842285156
1763338374.6740901,-0.018181800842285156
1763338374.6840818,-0.018181800842285156
1763338374.6941462,-0.018181800842285156
1763338374.7040784,-0.018181800842285156
1763338374.7140713,-0.018181800842285156
1763338374.7242234,-0.018181800842285156
1763338374.734098,-0.018181800842285156
1763338374.7440677,-0.018181800842285156
1763338374.7542536,-0.018181800842285156
1763338374.764148,-0.018181800842285156
1763338374.774077,-0.018181800842285156
1763338374.784098,-0.018181800842285156
1763338374.7941592,-0.018181800842285156
1763338374.8040798,-0.018181800842285156
1763338374.8140683,-0.018181800842285156
1763338374.8240798,-0.018181800842285156
1763338374.834087,-0.018181800842285156
1763338374.844076,-0.018181800842285156
1763338374.8540754,-0.018181800842285156
1763338374.8640795,-0.018181800842285156
1763338374.8740778,-0.018181800842285156
1763338374.8841763,-0.018181800842285156
1763338374.8941488,-0.018181800842285156
1763338374.904081,-0.018181800842285156
1763338375.0341268,-0.018181800842285156
1763338375.0440767,-0.018181800842285156
1763338375.0541651,-0.018181800842285156
1763338375.0640829,-0.018181800842285156
1763338375.0740657,-0.018181800842285156
1763338375.0842035,-0.018181800842285156
1763338375.0941043,-0.018181800842285156
1763338375.1040716,-0.019999980926513672
1763338375.1140795,-0.019999980926513672
1763338375.1241157,-0.018181800842285156
1763338375.1340735,-0.018181800842285156
1763338375.1440668,-0.018181800842285156
1763338375.154134,-0.018181800842285156
1763338375.1640763,-0.019999980926513672
1763338375.1740685,-0.019999980926513672
1763338375.1841748,-0.018181800842285156
1763338375.1941094,-0.018181800842285156
1763338375.204065,-0.018181800842285156
1763338375.2140868,-0.018181800842285156
1763338375.2241278,-0.018181800842285156
1763338375.2340672,-0.018181800842285156
1763338375.2440672,-0.018181800842285156
1763338375.2541144,-0.018181800842285156
1763338375.2640703,-0.018181800842285156
1763338375.2740638,-0.018181800842285156
1763338375.2842093,-0.018181800842285156
1763338375.2941384,-0.018181800842285156
1763338375.3040836,-0.018181800842285156
1763338375.3140953,-0.019999980926513672
1763338375.324141,-0.019999980926513672
1763338375.3341086,-0.018181800842285156
1763338375.3441002,-0.018181800842285156
1763338375.3541346,-0.018181800842285156
1763338375.3640606,-0.018181800842285156
1763338375.3740854,-0.018181800842285156
1763338375.3842056,-0.018181800842285156
1763338375.394112,-0.018181800842285156
1763338375.4040697,-0.019999980926513672
1763338375.414081,-0.019999980926513672
1763338375.424127,-0.018181800842285156
1763338375.434071,-0.018181800842285156
1763338375.4440844,-0.018181800842285156
1763338375.4541433,-0.018181800842285156
1763338375.4640665,-0.019999980926513672
1763338375.4740665,-0.019999980926513672
1763338375.4841385,-0.018181800842285156
1763338375.494081,-0.018181800842285156
1763338375.5040736,-0.018181800842285156
1763338375.5140934,-0.019999980926513672
1763338375.524146,-0.019999980926513672
1763338375.534095,-0.018181800842285156
1763338375.5441022,-0.018181800842285156
1763338375.554165,-0.018181800842285156
1763338375.5641022,-0.018181800842285156
1763338375.5740764,-0.018181800842285156
1763338375.5842147,-0.018181800842285156
1763338375.5940945,-0.019999980926513672
